iter	Passed	Remaining
0	38	15229
1	70	14033
2	96	12747
3	126	12505
4	160	12659
5	186	12254
6	225	12652
7	253	12423
8	278	12103
9	304	11883
10	329	11664
11	357	11561
12	390	11625
13	416	11495
14	449	11535
15	483	11604
16	512	11556
17	550	11674
18	578	11598
19	607	11546
20	639	11536
21	669	11502
22	703	11538
23	730	11442
24	767	11510
25	796	11458
26	831	11484
27	864	11480
28	901	11537
29	929	11464
30	964	11475
31	998	11481
32	1031	11474
33	1063	11444
34	1100	11478
35	1129	11416
36	1157	11358
37	1189	11327
38	1224	11338
39	1253	11277
40	1277	11186
41	1305	11127
42	1337	11101
43	1368	11071
44	1397	11024
45	1426	10976
46	1461	10979
47	1493	10949
48	1518	10876
49	1548	10841
50	1578	10802
51	1607	10755
52	1637	10722
53	1666	10680
54	1691	10609
55	1716	10542
56	1747	10513
57	1773	10455
58	1801	10413
59	1832	10385
60	1864	10360
61	1897	10342
62	1928	10314
63	1956	10270
64	1983	10223
65	2006	10155
66	2032	10100
67	2056	10039
68	2085	10004
69	2110	9949
70	2138	9908
71	2165	9866
72	2194	9830
73	2218	9774
74	2240	9710
75	2264	9652
76	2296	9632
77	2319	9576
78	2341	9516
79	2369	9476
80	2390	9415
81	2413	9361
82	2439	9318
83	2468	9286
84	2495	9249
85	2518	9195
86	2543	9150
87	2571	9117
88	2601	9090
89	2629	9055
90	2655	9015
91	2682	8979
92	2704	8927
93	2727	8879
94	2751	8833
95	2773	8783
96	2796	8734
97	2818	8687
98	2842	8641
99	2864	8594
100	2888	8549
101	2909	8501
102	2937	8470
103	2968	8447
104	2992	8407
105	3019	8374
106	3043	8333
107	3067	8293
108	3090	8250
109	3118	8220
110	3140	8177
111	3164	8136
112	3187	8095
113	3209	8052
114	3231	8008
115	3256	7972
116	3279	7931
117	3302	7892
118	3330	7863
119	3353	7824
120	3380	7794
121	3402	7753
122	3425	7715
123	3449	7677
124	3474	7643
125	3501	7615
126	3529	7586
127	3556	7556
128	3583	7527
129	3607	7493
130	3632	7458
131	3656	7423
132	3678	7385
133	3702	7349
134	3727	7315
135	3749	7277
136	3774	7245
137	3799	7212
138	3821	7175
139	3845	7141
140	3866	7102
141	3890	7068
142	3914	7034
143	3939	7003
144	3964	6971
145	3988	6939
146	4013	6907
147	4035	6870
148	4060	6840
149	4085	6808
150	4108	6775
151	4130	6739
152	4157	6712
153	4184	6683
154	4210	6656
155	4237	6627
156	4265	6602
157	4291	6573
158	4314	6538
159	4335	6503
160	4358	6469
161	4383	6439
162	4405	6405
163	4430	6375
164	4454	6343
165	4480	6315
166	4501	6280
167	4531	6258
168	4559	6232
169	4589	6209
170	4611	6175
171	4635	6144
172	4661	6116
173	4683	6083
174	4710	6056
175	4738	6030
176	4763	6001
177	4787	5970
178	4808	5937
179	4830	5903
180	4858	5878
181	4886	5852
182	4909	5821
183	4934	5792
184	4962	5767
185	4986	5737
186	5011	5707
187	5041	5685
188	5065	5655
189	5087	5623
190	5115	5597
191	5139	5567
192	5166	5540
193	5190	5511
194	5215	5483
195	5242	5455
196	5269	5430
197	5295	5402
198	5324	5378
199	5347	5347
200	5372	5318
201	5399	5292
202	5424	5263
203	5449	5235
204	5479	5212
205	5510	5189
206	5535	5161
207	5563	5135
208	5591	5110
209	5615	5080
210	5637	5049
211	5663	5022
212	5685	4991
213	5713	4966
214	5739	4938
215	5763	4909
216	5786	4880
217	5808	4849
218	5831	4819
219	5857	4792
220	5882	4764
221	5909	4738
222	5934	4710
